Sample	r_processed	r_with_adapters	bp_processed	bp_written	percent_trimmed
cfDNA000086_S24-subsamp18M-s18_R2_001	18000000	13115258	916356464	806369117	12.002681415035012
cfDNA000087_S10-subsamp18M-s18_R1_001	18000000	11991628	916999585	793976307	13.41584881960443
cfDNA000087_S10-subsamp18M-s18_R2_001	18000000	13365248	916546492	794939723	13.267932402931503
cfDNA000088_S11-subsamp18M-s18_R1_001	18000000	12007319	917423527	789541821	13.939222424148712
cfDNA000088_S11-subsamp18M-s18_R2_001	18000000	13371863	916476152	790408026	13.755745386815041
cfDNA000089_S25-subsamp18M-s18_R1_001	18000000	11821476	917429353	791526733	13.723413098599648
cfDNA000089_S25-subsamp18M-s18_R2_001	18000000	13220194	916068578	793967605	13.328802660885506
cfDNA000090_S12-subsamp18M-s18_R1_001	18000000	11231427	917187864	807469170	11.962510441590405
cfDNA000090_S12-subsamp18M-s18_R2_001	18000000	12881052	916527850	807711778	11.872642167938487
cfDNA000091_S13-subsamp18M-s18_R1_001	18000000	11671883	917421759	797501680	13.071423020390776
cfDNA000091_S13-subsamp18M-s18_R2_001	18000000	13128673	916610220	797623427	12.98117677544551
cfDNA000092_S13-subsamp18M-s18_R1_001	18000000	11756315	917347336	795894951	13.239520106918368
cfDNA000092_S13-subsamp18M-s18_R2_001	18000000	13214500	916539448	799737365	12.74381405567172
cfDNA000093_S26-subsamp18M-s18_R1_001	18000000	12153789	917404536	788291593	14.073719709622189
cfDNA000093_S26-subsamp18M-s18_R2_001	18000000	13473219	916444966	789039662	13.902122738049934
cfDNA000094_S14-subsamp18M-s18_R1_001	18000000	11560122	917396663	801482166	12.635155726525682
cfDNA000094_S14-subsamp18M-s18_R2_001	18000000	13112705	916513118	801384075	12.561636133613966
cfDNA000095_S14-subsamp18M-s18_R1_001	18000000	10671751	917508714	823584978	10.236822230333606
cfDNA000095_S14-subsamp18M-s18_R2_001	18000000	12446606	916740531	823414718	10.180177470521373
cfDNA000096_S15-subsamp18M-s18_R1_001	18000000	12224639	917384923	784189139	14.519072709896715
cfDNA000096_S15-subsamp18M-s18_R2_001	18000000	13415589	916176829	790056500	13.765937426911284
cfDNA000097_S27-subsamp18M-s18_R1_001	18000000	12068128	917422607	790415625	13.843890594250421
cfDNA000097_S27-subsamp18M-s18_R2_001	18000000	13409079	916477278	791288614	13.659767351046101
cfDNA000098_S15-subsamp18M-s18_R1_001	18000000	12119060	917461679	793563906	13.504408504019928
cfDNA000098_S15-subsamp18M-s18_R2_001	18000000	13466043	916756761	794293008	13.358369221778773
cfDNA000099_S28-subsamp18M-s18_R1_001	18000000	10466568	917450937	827291874	9.82712637417035
cfDNA000099_S28-subsamp18M-s18_R2_001	18000000	12324950	916501924	826984088	9.767337487880713
