Time (HH:MM:SS) - Plot 0	RFU - Plot 0	Time (HH:MM:SS) - Plot 1	RFU - Plot 1	Time (HH:MM:SS) - Plot 2	RFU - Plot 2
0	0	0	0	0	0
1.00067	0	1.00067	0	1.00067	0
2.00133	0	2.00133	0	2.00133	0
3.002	0	3.002	0	3.002	0
4.00267	0	4.00267	0	4.00267	0
5.00334	0	5.00334	0	5.00334	0
6.004	0	6.004	0	6.004	0
7.00467	0	7.00467	0	7.00467	0
8.00534	0	8.00534	0	8.00534	0
9.006	0	9.006	0	9.006	0
10.0067	1	10.0067	0	10.0067	0
11.0073	1	11.0073	0	11.0073	0
12.008	1	12.008	0	12.008	0
13.0087	0	13.0087	0	13.0087	0
14.0093	0	14.0093	0	14.0093	0
15.01	0	15.01	0	15.01	0
16.0107	0	16.0107	0	16.0107	0
17.0113	1	17.0113	0	17.0113	0
18.012	2	18.012	0	18.012	0
19.0127	4	19.0127	1	19.0127	1
20.0133	5	20.0133	2	20.0133	1
21.014	5	21.014	2	21.014	1
22.0147	5	22.0147	2	22.0147	1
23.0153	4	23.0153	2	23.0153	1
24.016	4	24.016	2	24.016	1
25.0167	4	25.0167	3	25.0167	1
26.0173	5	26.0173	3	26.0173	2
27.018	5	27.018	3	27.018	2
28.0187	4	28.0187	3	28.0187	1
29.0193	4	29.0193	4	29.0193	1
30.02	3	30.02	6	30.02	1
31.0207	2	31.0207	7	31.0207	1
32.0213	2	32.0213	6	32.0213	1
33.022	4	33.022	7	33.022	1
34.0227	5	34.0227	8	34.0227	1
35.0233	6	35.0233	9	35.0233	1
36.024	6	36.024	10	36.024	1
37.0247	6	37.0247	10	37.0247	0
38.0254	6	38.0254	9	38.0254	1
39.026	6	39.026	9	39.026	1
40.0267	6	40.0267	10	40.0267	2
41.0274	7	41.0274	12	41.0274	1
42.028	7	42.028	13	42.028	1
43.0287	7	43.0287	13	43.0287	0
44.0294	6	44.0294	10	44.0294	0
45.03	5	45.03	8	45.03	0
46.0307	4	46.0307	7	46.0307	1
47.0314	4	47.0314	8	47.0314	1
48.032	5	48.032	9	48.032	1
49.0327	5	49.0327	9	49.0327	1
50.0334	6	50.0334	9	50.0334	1
51.034	7	51.034	9	51.034	1
52.0347	7	52.0347	10	52.0347	1
53.0354	7	53.0354	12	53.0354	1
54.036	7	54.036	13	54.036	1
