Time (HH:MM:SS) - Plot 0	RFU - Plot 0
517.345	2
518.346	2
519.346	2
520.347	2
521.348	2
522.348	2
523.349	2
524.35	2
525.35	1
526.351	0
527.352	0
528.352	0
529.353	0
530.354	0
531.354	0
532.355	1
533.356	1
534.356	2
535.357	2
536.358	2
537.358	2
538.359	3
539.36	2
540.36	2
541.361	2
542.362	2
543.362	2
544.363	1
545.364	1
546.364	1
547.365	0
548.366	1
549.366	1
550.367	2
551.368	2
552.368	2
553.369	2
554.37	2
555.37	2
556.371	2
557.372	2
558.372	2
559.373	2
560.374	1
561.374	1
562.375	1
563.376	1
564.376	1
565.377	0
566.378	1
567.378	1
568.379	1
569.38	1
570.38	1
571.381	1
572.382	1
573.382	1
574.383	1
575.384	1
576.384	1
577.385	1
578.386	1
579.386	1
580.387	1
581.388	0
582.388	1
583.389	1
584.39	1
585.39	2
586.391	2
587.392	2
588.392	2
589.393	2
590.394	1
591.394	1
592.395	2
593.396	2
594.396	2
595.397	1
596.398	1
597.398	1
598.399	1
599.4	1
600.4	1
601.401	1
602.402	2
603.402	2
604.403	2
605.404	1
606.404	1
607.405	0
608.406	0
609.406	0
610.407	1
611.408	1
612.408	1
613.409	2
614.41	2
615.41	1
616.411	1
617.412	1
618.412	1
619.413	1
620.414	1
621.414	1
622.415	1
623.416	1
624.416	1
625.417	1
626.418	1
627.418	1
628.419	1
629.42	1
630.42	1
631.421	1
632.422	1
633.422	0
634.423	0
635.424	0
636.424	0
637.425	1
638.426	1
639.426	1
640.427	1
641.428	1
642.428	1
643.429	1
644.43	1
645.43	1
646.431	1
647.432	1
648.432	1
649.433	1
650.434	2
651.434	2
652.435	2
653.436	2
654.436	2
655.437	2
656.438	2
657.438	2
658.439	3
659.44	3
660.44	3
661.441	2
662.442	1
663.442	1
664.443	1
665.444	2
666.444	2
667.445	2
668.446	2
669.446	2
670.447	1
671.448	1
672.448	1
673.449	0
674.45	0
675.45	0
676.451	1
677.452	1
678.452	2
679.453	2
680.454	2
681.454	2
682.455	1
683.456	2
684.456	2
685.457	2
686.458	2
687.458	2
688.459	2
689.46	2
690.46	2
691.461	2
692.462	3
693.462	3
694.463	3
695.464	2
696.464	2
697.465	1
698.466	1
699.466	1
700.467	1
701.468	1
702.468	1
703.469	2
704.47	2
705.47	2
706.471	2
707.472	2
708.472	1
709.473	1
710.474	1
711.474	1
712.475	2
713.476	2
714.476	2
715.477	2
716.478	2
717.478	2
718.479	2
719.48	2
720.48	3
721.481	3
722.482	3
723.482	2
724.483	2
725.484	1
726.484	1
727.485	1
728.486	1
729.486	1
730.487	1
731.488	2
732.488	2
733.489	1
734.49	1
735.49	0
736.491	0
737.492	0
738.492	0
739.493	0
740.494	0
741.494	0
742.495	0
743.496	0
744.496	1
745.497	1
746.498	1
747.498	1
748.499	1
749.5	1
750.5	1
751.501	0
752.502	0
753.502	0
754.503	0
755.504	0
756.504	0
757.505	1
758.506	1
759.506	1
760.507	1
761.508	1
762.508	1
763.509	1
764.51	1
765.51	2
766.511	2
767.512	2
768.512	1
769.513	2
770.514	2
771.514	2
772.515	2
773.516	2
774.516	2
775.517	2
776.518	1
777.518	1
778.519	1
779.52	1
780.52	1
781.521	1
782.522	1
783.522	1
784.523	1
785.524	1
786.524	1
787.525	1
788.526	1
789.526	1
790.527	1
791.528	1
792.528	1
793.529	1
794.53	1
795.53	1
796.531	2
797.532	2
798.532	2
799.533	1
800.534	1
801.534	1
802.535	1
803.536	2
804.536	2
805.537	2
806.538	2
807.538	2
808.539	1
809.54	1
810.54	1
811.541	1
812.542	1
813.542	1
814.543	0
815.544	0
816.544	0
817.545	0
818.546	1
819.546	1
820.547	1
821.548	0
822.548	0
823.549	0
824.55	1
825.55	2
826.551	1
827.552	1
828.552	1
829.553	1
830.554	1
831.554	1
832.555	1
833.556	1
834.556	1
835.557	1
836.558	1
837.558	2
838.559	2
839.56	2
840.56	1
841.561	1
842.562	1
843.562	1
844.563	2
845.564	2
846.564	3
847.565	2
848.566	2
849.566	1
850.567	1
851.568	1
852.568	1
853.569	1
854.57	1
855.57	0
856.571	0
857.572	0
858.572	0
859.573	1
860.574	1
861.574	1
862.575	1
863.576	1
864.576	0
865.577	0
866.578	0
867.578	0
868.579	0
869.58	1
870.58	1
871.581	1
872.582	1
873.582	1
874.583	2
875.584	2
876.584	3
877.585	2
878.586	2
879.586	2
880.587	2
881.588	2
882.588	2
883.589	2
884.59	2
885.59	1
886.591	0
887.592	0
888.592	1
889.593	1
890.594	2
891.594	2
892.595	2
893.596	2
894.596	2
895.597	2
896.598	3
897.598	3
898.599	3
899.6	2
900.6	2
901.601	2
902.602	1
903.602	1
904.603	1
905.604	2
906.604	2
907.605	2
908.606	2
909.606	1
910.607	2
911.608	2
912.608	2
913.609	2
914.61	2
915.61	2
916.611	2
917.612	2
918.612	2
919.613	2
920.614	3
921.614	3
922.615	4
923.616	5
924.616	5
925.617	5
926.618	5
927.618	5
928.619	6
929.62	7
930.62	8
931.621	9
932.622	11
933.622	12
934.623	15
935.624	19
936.624	24
937.625	31
938.626	40
939.626	53
940.627	86
941.628	185
942.628	444
943.629	968
944.63	1745
945.63	2525
946.631	2924
947.632	2721
948.632	2063
949.633	1314
950.634	760
951.634	465
952.635	355
953.636	337
954.636	351
955.637	365
956.638	369
957.638	371
958.639	379
959.64	394
960.64	402
961.641	394
962.642	369
963.642	333
964.643	293
965.644	254
966.644	216
967.645	180
968.646	150
969.646	125
970.647	105
971.648	90
972.648	80
973.649	73
974.65	69
975.65	66
976.651	66
977.652	66
978.652	65
979.653	61
980.654	55
981.654	49
982.655	44
983.656	40
984.656	38
985.657	37
986.658	36
987.658	36
988.659	36
989.66	35
990.66	34
991.661	33
992.662	33
993.662	32
994.663	31
995.664	29
996.664	26
997.665	23
998.666	20
999.666	18
1000.67	16
1001.67	15
1002.67	13
1003.67	11
1004.67	10
1005.67	9
1006.67	8
1007.67	8
1008.67	7
1009.67	7
1010.67	6
1011.67	6
1012.68	5
1013.68	5
1014.68	4
1015.68	4
1016.68	4
1017.68	4
1018.68	4
1019.68	3
1020.68	3
1021.68	2
1022.68	2
1023.68	2
1024.68	2
1025.68	2
1026.68	2
1027.69	1
1028.69	1
1029.69	0
1030.69	1
1031.69	1
1032.69	2
1033.69	2
1034.69	2
1035.69	2
1036.69	2
1037.69	2
1038.69	2
1039.69	2
1040.69	3
1041.69	3
1042.7	2
1043.7	1
1044.7	1
1045.7	2
1046.7	2
1047.7	1
1048.7	1
1049.7	1
1050.7	1
1051.7	1
1052.7	2
1053.7	2
1054.7	2
1055.7	2
1056.7	2
1057.71	2
1058.71	2
1059.71	2
1060.71	2
1061.71	2
1062.71	2
1063.71	2
1064.71	2
1065.71	2
1066.71	2
1067.71	5
1068.71	11
1069.71	23
1070.71	36
1071.71	44
1072.72	41
1073.72	30
1074.72	18
1075.72	13
1076.72	18
1077.72	29
1078.72	39
1079.72	42
1080.72	36
1081.72	25
1082.72	14
1083.72	8
1084.72	6
1085.72	6
1086.72	6
1087.73	6
1088.73	6
1089.73	5
1090.73	8
1091.73	27
1092.73	111
1093.73	344
1094.73	746
1095.73	1142
1096.73	1250
1097.73	980
1098.73	547
1099.73	215
1100.73	62
1101.73	16
1102.74	8
1103.74	6
1104.74	5
1105.74	5
1106.74	4
1107.74	4
1108.74	4
1109.74	3
1110.74	3
1111.74	3
1112.74	3
1113.74	3
1114.74	3
1115.74	3
1116.74	3
1117.75	3
1118.75	2
1119.75	2
1120.75	2
1121.75	2
1122.75	1
1123.75	1
1124.75	2
1125.75	1
1126.75	1
1127.75	1
1128.75	1
1129.75	0
1130.75	0
1131.75	0
1132.76	0
1133.76	0
1134.76	0
1135.76	0
1136.76	0
1137.76	0
1138.76	1
1139.76	1
1140.76	1
1141.76	1
1142.76	0
1143.76	0
1144.76	0
1145.76	0
1146.76	0
1147.77	1
1148.77	1
1149.77	2
1150.77	2
1151.77	3
1152.77	3
1153.77	3
1154.77	3
1155.77	3
1156.77	2
1157.77	2
1158.77	1
1159.77	0
1160.77	0
1161.77	0
1162.78	1
1163.78	2
1164.78	3
1165.78	4
1166.78	4
1167.78	5
1168.78	5
1169.78	5
1170.78	5
1171.78	6
1172.78	6
1173.78	7
1174.78	7
1175.78	7
1176.78	6
1177.79	6
1178.79	5
1179.79	4
1180.79	4
1181.79	3
1182.79	3
1183.79	3
1184.79	2
1185.79	2
1186.79	2
1187.79	2
1188.79	2
1189.79	2
1190.79	1
1191.79	1
1192.8	1
1193.8	2
1194.8	2
1195.8	2
1196.8	2
1197.8	1
1198.8	0
1199.8	0
1200.8	1
1201.8	1
1202.8	2
1203.8	2
1204.8	1
1205.8	1
1206.8	1
1207.81	2
1208.81	2
1209.81	3
1210.81	4
1211.81	4
1212.81	3
1213.81	3
1214.81	3
1215.81	3
1216.81	3
1217.81	3
1218.81	3
1219.81	4
1220.81	4
1221.81	4
1222.82	4
1223.82	4
1224.82	6
1225.82	21
1226.82	99
1227.82	342
1228.82	803
1229.82	1299
1230.82	1470
1231.82	1169
1232.82	652
1233.82	252
1234.82	71
1235.82	20
