Time (HH:MM:SS) - Plot 0	RFU - Plot 0	Time (HH:MM:SS) - Plot 1	RFU - Plot 1	Time (HH:MM:SS) - Plot 2	RFU - Plot 2
0	0	0	0	0	0
1.00067	0	1.00067	0	1.00067	0
2.00133	0	2.00133	0	2.00133	0
3.002	0	3.002	0	3.002	0
4.00267	0	4.00267	0	4.00267	0
5.00334	0	5.00334	0	5.00334	0
6.004	0	6.004	0	6.004	0
7.00467	0	7.00467	0	7.00467	0
8.00534	0	8.00534	0	8.00534	0
9.006	0	9.006	0	9.006	0
10.0067	0	10.0067	0	10.0067	0
11.0073	0	11.0073	0	11.0073	0
12.008	0	12.008	0	12.008	0
13.0087	0	13.0087	0	13.0087	0
14.0093	0	14.0093	0	14.0093	0
15.01	0	15.01	0	15.01	0
16.0107	0	16.0107	0	16.0107	0
17.0113	0	17.0113	0	17.0113	0
18.012	1	18.012	0	18.012	0
19.0127	2	19.0127	0	19.0127	0
20.0133	2	20.0133	0	20.0133	1
21.014	2	21.014	0	21.014	1
22.0147	2	22.0147	0	22.0147	1
23.0153	2	23.0153	0	23.0153	0
24.016	2	24.016	0	24.016	0
25.0167	2	25.0167	0	25.0167	1
26.0173	2	26.0173	1	26.0173	2
27.018	2	27.018	3	27.018	3
28.0187	2	28.0187	3	28.0187	3
29.0193	3	29.0193	2	29.0193	3
30.02	4	30.02	2	30.02	1
31.0207	4	31.0207	3	31.0207	0
32.0213	3	32.0213	3	32.0213	0
33.022	3	33.022	2	33.022	1
34.0227	3	34.0227	1	34.0227	3
35.0233	3	35.0233	2	35.0233	3
36.024	4	36.024	2	36.024	3
37.0247	5	37.0247	1	37.0247	3
38.0254	6	38.0254	0	38.0254	2
39.026	6	39.026	1	39.026	1
40.0267	6	40.0267	2	40.0267	0
41.0274	5	41.0274	2	41.0274	1
42.028	4	42.028	2	42.028	3
43.0287	3	43.0287	2	43.0287	4
44.0294	3	44.0294	1	44.0294	4
45.03	4	45.03	1	45.03	4
46.0307	4	46.0307	0	46.0307	5
47.0314	4	47.0314	0	47.0314	5
48.032	4	48.032	1	48.032	4
49.0327	5	49.0327	2	49.0327	3
50.0334	5	50.0334	3	50.0334	3
51.034	6	51.034	4	51.034	4
52.0347	6	52.0347	4	52.0347	4
53.0354	5	53.0354	4	53.0354	5
54.036	4	54.036	3	54.036	5
