Time (HH:MM:SS) - Plot 0	RFU - Plot 0	Time (HH:MM:SS) - Plot 1	RFU - Plot 1	Time (HH:MM:SS) - Plot 2	RFU - Plot 2
0	0	0	0	0	0
1.00067	0	1.00067	0	1.00067	0
2.00133	1	2.00133	0	2.00133	0
3.002	1	3.002	0	3.002	0
4.00267	3	4.00267	1	4.00267	0
5.00334	6	5.00334	1	5.00334	0
6.004	9	6.004	1	6.004	0
7.00467	10	7.00467	1	7.00467	0
8.00534	9	8.00534	2	8.00534	0
9.006	8	9.006	3	9.006	0
10.0067	7	10.0067	4	10.0067	1
11.0073	7	11.0073	4	11.0073	1
12.008	8	12.008	5	12.008	1
13.0087	8	13.0087	6	13.0087	1
14.0093	7	14.0093	7	14.0093	1
15.01	4	15.01	7	15.01	1
16.0107	2	16.0107	6	16.0107	1
17.0113	1	17.0113	7	17.0113	1
18.012	2	18.012	8	18.012	2
19.0127	5	19.0127	8	19.0127	2
20.0133	8	20.0133	8	20.0133	3
21.014	10	21.014	6	21.014	3
22.0147	11	22.0147	4	22.0147	3
23.0153	11	23.0153	4	23.0153	3
24.016	10	24.016	5	24.016	4
25.0167	10	25.0167	6	25.0167	4
26.0173	10	26.0173	7	26.0173	3
27.018	9	27.018	8	27.018	3
28.0187	8	28.0187	9	28.0187	3
29.0193	5	29.0193	9	29.0193	3
30.02	4	30.02	9	30.02	3
31.0207	3	31.0207	10	31.0207	3
32.0213	4	32.0213	10	32.0213	5
33.022	4	33.022	11	33.022	6
34.0227	6	34.0227	12	34.0227	5
35.0233	8	35.0233	11	35.0233	4
36.024	9	36.024	10	36.024	2
37.0247	9	37.0247	9	37.0247	1
38.0254	9	38.0254	8	38.0254	1
39.026	9	39.026	8	39.026	1
40.0267	9	40.0267	8	40.0267	2
41.0274	12	41.0274	8	41.0274	1
42.028	16	42.028	9	42.028	1
43.0287	22	43.0287	10	43.0287	1
44.0294	27	44.0294	10	44.0294	1
45.03	30	45.03	9	45.03	2
46.0307	32	46.0307	9	46.0307	1
47.0314	36	47.0314	9	47.0314	0
48.032	40	48.032	9	48.032	0
49.0327	43	49.0327	9	49.0327	1
50.0334	47	50.0334	8	50.0334	2
51.034	50	51.034	7	51.034	2
52.0347	51	52.0347	8	52.0347	2
53.0354	52	53.0354	9	53.0354	1
54.036	51	54.036	10	54.036	0
