Time (HH:MM:SS) - Plot 0	RFU - Plot 0	Time (HH:MM:SS) - Plot 1	RFU - Plot 1	Time (HH:MM:SS) - Plot 2	RFU - Plot 2
0	0	0	0	0	0
1.00067	1	1.00067	0	1.00067	0
2.00133	1	2.00133	0	2.00133	0
3.002	2	3.002	0	3.002	0
4.00267	2	4.00267	0	4.00267	0
5.00334	2	5.00334	0	5.00334	0
6.004	2	6.004	0	6.004	0
7.00467	2	7.00467	0	7.00467	0
8.00534	2	8.00534	0	8.00534	0
9.006	2	9.006	0	9.006	0
10.0067	1	10.0067	0	10.0067	0
11.0073	1	11.0073	0	11.0073	0
12.008	1	12.008	0	12.008	0
13.0087	2	13.0087	0	13.0087	0
14.0093	3	14.0093	0	14.0093	0
15.01	3	15.01	0	15.01	0
16.0107	3	16.0107	0	16.0107	0
17.0113	3	17.0113	0	17.0113	0
18.012	2	18.012	0	18.012	0
19.0127	2	19.0127	0	19.0127	0
20.0133	1	20.0133	0	20.0133	0
21.014	2	21.014	1	21.014	0
22.0147	2	22.0147	3	22.0147	0
23.0153	2	23.0153	5	23.0153	0
24.016	2	24.016	7	24.016	0
25.0167	2	25.0167	8	25.0167	0
26.0173	1	26.0173	6	26.0173	0
27.018	2	27.018	2	27.018	0
28.0187	3	28.0187	0	28.0187	0
29.0193	3	29.0193	1	29.0193	0
30.02	3	30.02	4	30.02	1
31.0207	3	31.0207	6	31.0207	2
32.0213	3	32.0213	8	32.0213	2
33.022	2	33.022	9	33.022	1
34.0227	2	34.0227	9	34.0227	0
35.0233	1	35.0233	7	35.0233	0
36.024	1	36.024	5	36.024	0
37.0247	0	37.0247	6	37.0247	1
38.0254	0	38.0254	8	38.0254	2
39.026	0	39.026	10	39.026	2
40.0267	0	40.0267	10	40.0267	0
41.0274	0	41.0274	10	41.0274	0
42.028	1	42.028	10	42.028	1
43.0287	2	43.0287	10	43.0287	2
44.0294	3	44.0294	9	44.0294	2
45.03	3	45.03	9	45.03	3
46.0307	2	46.0307	9	46.0307	2
47.0314	2	47.0314	10	47.0314	2
48.032	3	48.032	12	48.032	1
49.0327	3	49.0327	13	49.0327	2
50.0334	3	50.0334	13	50.0334	2
51.034	3	51.034	11	51.034	1
52.0347	2	52.0347	9	52.0347	2
53.0354	1	53.0354	8	53.0354	2
54.036	1	54.036	7	54.036	2
