Time (HH:MM:SS) - Plot 0	RFU - Plot 0	Time (HH:MM:SS) - Plot 1	RFU - Plot 1	Time (HH:MM:SS) - Plot 2	RFU - Plot 2
0	0	0	0	0	0
1.00067	0	1.00067	0	1.00067	0
2.00133	0	2.00133	0	2.00133	0
3.002	0	3.002	0	3.002	0
4.00267	0	4.00267	0	4.00267	0
5.00334	0	5.00334	0	5.00334	0
6.004	1	6.004	0	6.004	0
7.00467	1	7.00467	0	7.00467	0
8.00534	2	8.00534	0	8.00534	0
9.006	2	9.006	0	9.006	0
10.0067	2	10.0067	0	10.0067	0
11.0073	2	11.0073	0	11.0073	0
12.008	2	12.008	0	12.008	1
13.0087	2	13.0087	0	13.0087	2
14.0093	2	14.0093	0	14.0093	2
15.01	2	15.01	0	15.01	1
16.0107	3	16.0107	0	16.0107	0
17.0113	3	17.0113	0	17.0113	0
18.012	2	18.012	1	18.012	1
19.0127	2	19.0127	1	19.0127	1
20.0133	2	20.0133	0	20.0133	3
21.014	2	21.014	0	21.014	3
22.0147	2	22.0147	0	22.0147	2
23.0153	3	23.0153	1	23.0153	0
24.016	4	24.016	2	24.016	0
25.0167	4	25.0167	2	25.0167	1
26.0173	3	26.0173	2	26.0173	2
27.018	3	27.018	2	27.018	2
28.0187	3	28.0187	1	28.0187	2
29.0193	4	29.0193	1	29.0193	2
30.02	5	30.02	1	30.02	1
31.0207	5	31.0207	2	31.0207	1
32.0213	4	32.0213	3	32.0213	2
33.022	3	33.022	4	33.022	2
34.0227	3	34.0227	4	34.0227	2
35.0233	3	35.0233	4	35.0233	3
36.024	3	36.024	4	36.024	3
37.0247	3	37.0247	4	37.0247	2
38.0254	3	38.0254	4	38.0254	2
39.026	4	39.026	5	39.026	2
40.0267	4	40.0267	6	40.0267	2
41.0274	5	41.0274	6	41.0274	2
42.028	5	42.028	5	42.028	2
43.0287	5	43.0287	4	43.0287	2
44.0294	4	44.0294	4	44.0294	3
45.03	3	45.03	4	45.03	3
46.0307	3	46.0307	3	46.0307	3
47.0314	3	47.0314	3	47.0314	3
48.032	3	48.032	4	48.032	2
49.0327	3	49.0327	5	49.0327	1
50.0334	4	50.0334	6	50.0334	2
51.034	5	51.034	6	51.034	2
52.0347	5	52.0347	5	52.0347	1
53.0354	5	53.0354	4	53.0354	1
54.036	4	54.036	4	54.036	2
